venue,lat,lon,city
"National Stadium, Karachi",24.8943,67.0631,Karachi
"Gaddafi Stadium, Lahore",31.5147,74.3429,Lahore
Rawalpindi Cricket Stadium,33.5978,73.0552,Rawalpindi
Multan Cricket Stadium,30.2676,71.5252,Multan
"Arbab Niaz Stadium, Peshawar",34.0151,71.5249,Peshawar
"Iqbal Stadium, Faisalabad",31.4181,73.0790,Faisalabad
Dubai International Cricket Stadium,25.0480,55.2318,Dubai
Sharjah Cricket Stadium,25.3425,55.3877,Sharjah
"Sheikh Zayed Stadium, Abu Dhabi",24.4209,54.4673,Abu Dhabi
