venue,matches,avg_first_score,avg_second_score,avg_pp_score,avg_death_runs_added,chase_win_pct,defend_win_pct,avg_wickets_per_innings,avg_runs_per_over,pace_economy,spin_economy
"National Stadium, Karachi",75,172.8,161.5,48.9,48.4,58.0,42.0,6.0,8.63,8.38,7.63
"Gaddafi Stadium, Lahore",65,174.6,154.1,51.3,51.8,42.11,57.89,6.6,8.65,8.64,7.81
Dubai International Cricket Stadium,60,148.8,141.6,41.2,43.8,64.76,35.239999999999995,6.2,7.61,7.31,7.15
Sharjah Cricket Stadium,38,150.2,145.7,44.6,40.4,63.64,36.36,6.1,7.82,7.47,6.94
Rawalpindi Cricket Stadium,36,194.3,163.8,58.4,56.0,40.0,60.0,6.4,9.72,9.71,8.9
"Sheikh Zayed Stadium, Abu Dhabi",24,167.3,148.2,43.7,50.8,43.18,56.82,6.4,8.26,8.44,8.52
Multan Cricket Stadium,16,171.7,153.7,48.4,48.8,37.93,62.07,6.2,8.52,8.07,8.03
